,,,,,,,,
"Department of Insurance, Securities and Banking",,,,,,,,
Banks with Ward Location,,,,,,,,
,,,,,,,,
Name,Address,City,Zip,Ward,,,,
Amalgamated Bank,"1825 K Street, NW",Washington,20006,2,,,,
American Bank,"5600 Connecticut Avenue, NW",Washington,20015,3,,,,
American Bank,"1301 K St, NW",Washington,20005,2,,,,
"Bank of America, National Association","3100 14th Street, NW",Washington,20010,1,,,,
"Bank of America, National Association","600 14th St., NW",Washington,20005,2,,,,
"Bank of America, National Association","915 Rhode Island Avenue, NE",Washington,20018,5,,,,
"Bank of America, National Association","1501 Pennsylvania Avenue, NW",Washington,20006,2,,,,
"Bank of America, National Association","901 K Street, NW Ste 101",Washington,20001,2,,,,
"Bank of America, National Association","1339 Wisconsin Avenue, NW",Washington,20007,3,,,,
"Bank of America, National Association","888 17th Street, NW",Washington,20006,2,,,,
"Bank of America, National Association","5911 Blair Road, NW",Washington,20011,4,,,,
"Bank of America, National Association","3821 Minnesota Avenue, NE",Washington,20019,7,,,,
"Bank of America, National Association","3401 Connecticut Avenue, NW",Washington,20008,3,,,,
"Bank of America, National Association","3500 Georgia Avenue, NW",Washington,20010,1,,,,
"Bank of America, National Association","700 13th Street, NW",Washington,20005,2,,,,
"Bank of America, National Association","201 Pennsylvania Avenue, SE",Washington,20003,6,,,,
"Bank of America, National Association","722 H Street, NE",Washington,20002,6,,,,
"Bank of America, National Association","55 M Street Southeast, Suite 101",Washington,20003,6,,,,
"Bank of America, National Association","5201 Wisconsin Avenue, NW",Washington,20015,3,,,,
"Bank of America, National Association","4301 49th Street, NW",Washington,20016,3,,,,
"Bank of America, National Association","2631 Connecticut Avenue, NW",Washington,20008,3,,,,
"Bank of America, National Association","2201 C Street, NW",Washington,20520,2,,,,
"Bank of America, National Association","4201 Connecticut Avenue, NW",Washington,20008,3,,,,
"Bank of America, National Association","3 Dupont Circle, NW",Washington,20036,2,,,,
"Bank of America, National Association","2001 Pennsylvania Avenue, NW",Washington,20006,2,,,,
"Bank of America, National Association","1835 Columbia Road, NW",Washington,20009,1,,,,
"Bank of America, National Association","4675 South Capitol Street, SW",Washington,20032,8,,,,
"Bank of America, National Association","1801 K Street, NW",Washington,20006,2,,,,
"Bank of America, National Association",The Pentagon,Washington,20301,,,,,
"Bank of America, National Association","1090 Vermont Avenue, NW",Washington,20005,2,,,,
"Bank of America, National Association","1001 Pennsylvania Avenue, NW",Washington,20004,2,,,,
"Bank of America, National Association","2100 Martin Luther King Jr. Avenue, SE",Washington,20020,8,,,,
"Bank of America, National Association","3131 Mt. Pleasant Street, NW",Washington,20010,1,,,,
Bank of Georgetown,"1001 Wisconsin Avenue, NW",Washington,20007,3,,,,
Bank of Georgetown,"1101 Connecticut Avenue, NW",Washington,20036,2,,,,
Bank of Georgetown,"1350 I Street, NW",Washington,20005,2,,,,
Bank of Georgetown,"444 8th Street, NW",Washington,20004,2,,,,
Bank of Georgetown,"1301 U Street, NW",Washington,20009,1,,,,
Branch Banking and Trust Company,"1099 New York Ave, NW Ste 100",Washington,20001,2,,,,
Branch Banking and Trust Company,"3101 14th Street, NW",Washington,20010,1,,,,
Branch Banking and Trust Company,"1801 Adams Mill Road, NW",Washington,20009,1,,,,
Branch Banking and Trust Company,"614 H Street, NW",Washington,20001,2,,,,
Branch Banking and Trust Company,317 Pennsylvania Avenue SE,Washington,20003,6,,,,
Branch Banking and Trust Company,"360 H Street, NE",Washington,20002,6,,,,
Branch Banking and Trust Company,"1909 K Street, NW",Washington,20006,2,,,,
Branch Banking and Trust Company,"5200 Wisconsin Avenue, NW",Washington,20015,3,,,,
Branch Banking and Trust Company,"815 Connecticut Avenue, NW",Washington,20006,2,,,,
Branch Banking and Trust Company,"1730 Rhode Island Avenue, NW",Washington,20036,2,,,,
Branch Banking and Trust Company,"1365 Wisconsin Avenue, NW",Washington,20007,3,,,,
Branch Banking and Trust Company,"601 13th Street, NW",Washington,20005,2,,,,
Branch Banking and Trust Company,"1804 14th Street, NW",Washington,20009,2,,,,
"Capital Bank, National Association","1776 I Street, NW",Washington,20006,2,,,,
"Capital One, National Association","1700 K Street, NW",Washington,20006,2,,,,
"Capital One, National Association","3800 Reservoir Road, NW",Washington,20057,2,,,,
"Capital One, National Association",901 New York Avenue,Washington,20001,2,,,,
"Capital One, National Association","701 Pennsylvania Avenue, NW",Washington,20004,2,,,,
"Capital One, National Association","1075 5th St, NW",Washington,20001,2,,,,
"Capital One, National Association","1100 New Jersey Avenue, SE",Washington,20003,6,,,,
"Capital One, National Association","1200 F Street, NW",Washington,20004,2,,,,
"Capital One, National Association","336 Pennsylvania Avenue, SE",Washington,20003,6,,,,
"Capital One, National Association","85 H Street, NW",Washington,20001,6,,,,
"Capital One, National Association","4860 Massachusetts Avenue, NW",Washington,20016,3,,,,
"Capital One, National Association","2831 Alabama Avenue, SE",Washington,20020,7,,,,
"Capital One, National Association","4000 Wisconsin Avenue, NW",Washington,20016,3,,,,
"Capital One, National Association","1800 M Street, NW",Washington,20036,2,,,,
"Capital One, National Association","1545 Wisconsin Avenue, NW",Washington,20007,3,,,,
"Capital One, National Association","5714 Connecticut Avenue, NW",Washington,20015,3,,,,
"Capital One, National Association","1850 K Street, NW",Washington,20006,2,,,,
